"","time","last_exposure","inf_history","titre_type","me_nat","lo_95_nat","hi_95_nat","me_trans","lo_95_trans","hi_95_trans","vaccinate"
"40",0,"mRNA1273","Infection Naive","BA.1",158.205735688093,38.4612732901042,654.442143479713,2.98373,0.943406525,5.03219375,"2nd_vax"
"41",0,"mRNA1273","Infection Naive","BA.2",263.291401154563,66.6884734465495,1116.88183658479,3.7185885,1.737437425,5.80333275,"2nd_vax"
"42",0,"mRNA1273","Infection Naive","BA.5",139.53252035468,33.559733283916,588.979187516328,2.8025295,0.74673125,4.88014475,"2nd_vax"
"43",0,"mRNA1273","Infection Naive","BQ.1.1",127.597264939061,20,1701.47627546604,2.6735255,0,6.410643225,"2nd_vax"
"44",0,"mRNA1273","Infection Naive","XBB",329.351336626486,25.4654514328158,3829.62083518817,4.0415555,0.3485412925,7.58105775,"2nd_vax"
"45",0,"mRNA1273","Infection Naive","XBB.1.5",216.278297521817,20,2859.2000410901,3.434817,0,7.15946775000001,"2nd_vax"
"46",0,"mRNA1273","Previously infected","Wildtype",2459.29331103563,866.174547868032,6595.5264102755,6.9421,5.436585875,8.365344,"2nd_vax"
"47",0,"mRNA1273","Previously infected","Alpha",1213.64275031336,422.169734513572,3228.75463687309,5.9232,4.39975125,7.334834,"2nd_vax"
"48",0,"mRNA1273","Previously infected","Delta",738.530193952126,260.955463105763,2011.25402792214,5.206585,3.7057317,6.6519515,"2nd_vax"
"49",0,"mRNA1273","Previously infected","BA.1",420.316736826709,148.8700491252,1142.71573554635,4.393405,2.895981625,5.83632275,"2nd_vax"
"50",0,"mRNA1273","Previously infected","BA.2",706.863625969751,248.947793792811,1938.11618645447,5.14336,3.637771325,6.59851125,"2nd_vax"
"51",0,"mRNA1273","Previously infected","BA.5",369.227473498928,130.502184371413,1055.4665155548,4.206438,2.70600205,5.721737,"2nd_vax"
"52",0,"mRNA1273","Previously infected","BQ.1.1",334.497726467822,24.0278706084987,3505.84341311469,4.0639245,0.2647088,7.45361775,"2nd_vax"
"53",0,"mRNA1273","Previously infected","XBB",887.7675065535,78.863888696786,8941.76766235045,5.47211,1.97936485,8.80441625,"2nd_vax"
"54",0,"mRNA1273","Previously infected","XBB.1.5",570.634472959153,52.9921642642699,5948.53254146735,4.834495,1.40577905,8.21639,"2nd_vax"
"55",1,"AZD1222","Infection Naive","Wildtype",137.455292355871,96.607554561806,194.798080316492,2.78089055,2.27213601,3.283907555,"2nd_vax"
"56",1,"AZD1222","Infection Naive","Alpha",67.1453270775138,47.9086116989657,92.4377056923646,1.747287,1.2602850075,2.2084814525,"2nd_vax"
"57",1,"AZD1222","Infection Naive","Delta",40.8986564390683,29.4216591391566,56.5425017573471,1.03205345,0.556878605,1.4993357175,"2nd_vax"
"58",1,"AZD1222","Infection Naive","BA.1",23.1764443494671,20,31.8618488020671,0.21265925,0,0.6718299825,"2nd_vax"
"59",1,"AZD1222","Infection Naive","BA.2",39.0905856755783,27.4044739726223,54.6260961642615,0.9668212,0.4544114425,1.449590325,"2nd_vax"
